day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.788115847589714E11,-3.3470666344565865E10,8335456.713599683
2,-2.470532091896913E11,-3.832398466583846E10,8393051.433891818
3,-3.1527219700326434E11,-4.3173181417739845E10,8450449.916981269
4,-3.834784622496727E11,-4.802043838588852E10,8507765.002958193
5,-4.51676565083937E11,-5.286658926245635E10,8565036.301195733
6,-5.1986898250230884E11,-5.7712032554024506E10,8622281.429625891
7,-5.880572108616343E11,-6.255698717523278E10,8679509.477112703
8,-6.5624222370916E11,-6.740158538167378E10,8736725.642185178
9,-7.24424690157089E11,-7.224591280074962E10,8793933.134247946
10,-7.926050899401709E11,-7.709002786862938E10,8851134.054860976
11,-8.607837787746035E11,-8.193397215126677E10,8908329.84597044
12,-9.289610277434758E11,-8.677777621966951E10,8965521.535134654
13,-9.971370481888141E11,-9.16214631860235E10,9022709.877850194
14,-1.0653120080743965E12,-9.646505093139624E10,9079895.444297543
15,-1.1334860431028845E12,-1.0130855356369812E11,9137078.674435312
16,-1.2016592644844705E12,-1.0615198240322461E11,9194259.914244397
17,-1.26983176449898E12,-1.1099534666761386E11,9251439.440305928
18,-1.3380036205633281E12,-1.1583865395951392E11,9308617.476914031
19,-1.4061748982618604E12,-1.2068191062120155E11,9365794.2082699
20,-1.474345653641606E12,-1.2552512199731387E11,9422969.787350396
21,-1.5425159349765776E12,-1.3036829263276515E11,9480144.342476226
22,-1.6106857841420237E12,-1.3521142642407605E11,9537317.982255964
23,-1.6788552376977546E12,-1.4005452673664438E11,9594490.799362114
24,-1.7470243277514624E12,-1.4489759649673425E11,9651662.873453291
25,-1.8151930826535696E12,-1.4974063826443616E11,9708834.273462735
26,-1.883361527561583E12,-1.545836542921217E11,9766005.059410097
27,-1.9515296849023005E12,-1.5942664657171347E11,9823175.283850128
28,-2.0196975747532908E12,-1.6426961687323676E11,9880344.993041623
29,-2.087865215159991E12,-1.6911256677651062E11,9937514.22789859
30,-2.156032622401042E12,-1.7395549769738913E11,9994683.024770232
31,-2.2241998112116797E12,-1.7879841090963843E11,1.005185141608517E7
32,-2.2923667949728955E12,-1.836413075632903E11,1.0109019430887101E7
33,-2.360533585872477E12,-1.8848418870013113E11,1.0166187095282946E7
34,-2.4287001950427974E12,-1.9332705526684537E11,1.0223354432820017E7
